name,itemType,gluten,vegan,vegetarian,sesame,soy,fish,shellfish,dairy,egg,treeNuts,peanuts,wheat,legumes,garlic,mustard,halal,keto,lowFODMAP,dash,lowCarb,description
Chips & Guac,Sides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,"Seasoned Corn Chips, Housemade - 12"
Key Lime Pie,Desserts,2,2,2,0,0,0,0,2,0,0,0,2,0,0,0,0,2,2,2,2,"Florida Key Limes, Graham Cracker Crust, Toasted Meringue - 14"
Cookie,Desserts,2,2,2,0,0,0,0,2,2,0,0,2,0,0,0,0,2,2,2,2,"Freshly Baked Cookie, White Chocolate, Brownie Chunks, French Vanilla Ice Cream, Dulce de Leche - 14"
Soho Classic Breakfast,Breakfast,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,2,2,"(Vegetarian Option Available): Two Eggs any style, Sausage, Bacon, Toast, Crispy Potatoes, Cheddar Jalapeño Cornbread, Homemade Raspberry Balsamic Jam, Berries - 15"
Soho Grande,Breakfast,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,2,2,"(Vegetarian Option Available): Three Eggs any style, Sausage, Bacon, Peameal Bacon, Crispy Potatoes, Toast, Pancake with Berries, Cheddar Jalapeño Cornbread, Homemade Raspberry Balsamic Jam - 23"
Soho Hash,Breakfast,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,2,2,"(Vegetarian Option Available): Poached Eggs, Chopped Donair Meat, Brown Butter Hollandaise, Red Onion, Tomato, Green Onions, Corn, Pickled Chillies, Herb, Garlic Naan - 17"
Soho Hash Vegan,Breakfast,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,2,2,"(Vegetarian Option Available): Poached Eggs, Chopped Donair Meat, Brown Butter Hollandaise, Red Onion, Tomato, Green Onions, Corn, Pickled Chillies, Herb, Garlic Naan - 17"
Pork Belly Breakfast Sandwich,Breakfast,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,2,2,2,2,"Eggs, Maple Syrup Glazed Pork Belly, Brown Butter Hollandaise, Lemon Honey Truffle Aioli, Red Onion, Red Chillies, Raclette Cheese, Cilantro, Roasted Garlic Ciabatta - 17"
Avocado Toast,Breakfast,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,2,2,"Smashed Avocado, Poached Egg, Lemon Ricotta Cheese, Onion Sprouts, Blistered Grape Tomato, Roasted Garlic Ciabatta - 17"
Grilled Cheese,Breakfast,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,2,2,"Sliced Sourdough Bread, Swiss Cheese, Mozzarella, Feta, Tortilla Soup - 16"
Soho Omelette,Breakfast,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,2,2,"Spinach, Tomato, Red Onion, Swiss Cheese - 14½"
Yogurt Granola Berry Bowl,Breakfast,0,2,1,0,0,0,0,2,1,1,0,1,0,0,0,0,2,2,2,2,"Honey Granola Lotus Yogurt, Strawberries, Blueberries, Mint, Blackberries, Hemp Hearts, Almond Salt, Icing Sugar - 14"
The Classic Benny,Benny,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,2,2,"Poached Eggs, Peameal, English Muffin, Brown Butter Hollandaise, Crispy Potatoes, Salad - 17"
Tomatillo + Baby Kale Benny,Benny,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,2,2,"Poached Eggs, English Muffin, Baby Kale, Sautéed Tomatillo, Brown Butter Hollandaise, Crispy Potatoes, Salad - 17"
Pork Belly Benny,Benny,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,2,2,"Poached Eggs, Braised Pork Belly, English Muffin, Brown Butter Hollandaise, Crispy Potatoes, Salad - 17"
Lobster Benny,Benny,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,2,2,"Poached Eggs, Butter Poached Lobster, Spinach, English Muffin, Brown Butter Hollandaise, Crispy Potatoes, Salad - 25"
The Pancetta Benny,Benny,1,2,0,0,0,2,2,1,1,0,0,0,0,0,0,0,2,2,2,2,"Poached Eggs, Pancetta, English Muffin, Brown Butter Hollandaise, Crispy Potatoes, Salad - 17"
The Standard Stack,Pancakes,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,2,2,"Fresh Berries, Whipped Agave Butter - 15"
Caramelized Apple Stack,Pancakes,2,2,2,0,0,0,0,2,2,1,0,0,0,0,0,0,2,2,2,2,"Diced Apples, Apple Caramel Sauce, Cookie Crumble, Apple Butter - 17"
Crispy Chicken & Pancakes,Pancakes,2,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2,2,2,"Fried Chicken, Maple Bacon Butter, Sour Cherry Compote, Balsamic Glaze - 18"
