name,itemType,shellfish,egg,fish,dairy,molluscs,mustard,peanuts,sesame,soy,sulphites,treeNuts,wheat,gluten,vegetarian,vegan,Image
Baked Potato Works,ACCOMPANIMENTS,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/v3wJIPWueT4DqUYbzLXp.png
Cauliflower Mash,ACCOMPANIMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/22fFDUE6QkQzTgXOKEOh.png
Keg Fries,ACCOMPANIMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/JDOUrFhI1i8IzgXHJydd.png
Sautéed Vegetables,ACCOMPANIMENTS,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/6ObgaaBnuLmxV92xcmGL.png
Garlic Mashed Potatoes,ACCOMPANIMENTS,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/SHhFFxJin557S8w1SwgX.png
Sautéed Mixed Mushrooms,ACCOMPANIMENTS,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/C42bRnGDzu30spMU9Jqv.png
Twice Baked Potato,ACCOMPANIMENTS,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/ISRztL849Fz6n6qLRJoO.png
Grilled Seasonal Vegetables - Zucchini & Red Peppers,ACCOMPANIMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/PbNReiwIkpm4afp57W78.png
KEG Mac & Cheese,SHAREABLE SIDES,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/WvRpbwxLYm8KjEIhN1zI.png
Caesar Brussels Sprouts,SHAREABLE SIDES,0,2,2,2,0,0,0,0,2,2,0,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/QC01UL5gyuY7VAio9DRB.png
Parmesan Onion Rings,SHAREABLE SIDES,0,2,0,2,0,0,0,0,0,2,0,2,0,0,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/aJ8IxAfXnaAiidlBY4gL.png
Prime Rib 10 oz,KEG Classics ,0,0,0,2,0,0,0,0,2,2,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/Mh4Lu9kgGJT4czdRbZct.png
Filet Mignon 7 oz,KEG Classics ,0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/w18vbxCNU7agSxH7Ehf1.png
Teriyaki Sirloin 8 oz,KEG Classics ,0,0,0,2,0,0,0,0,2,2,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/nSZfNAOyyeTpAP1oTOqS.png
Top Sirloin 6 oz,KEG Classics ,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/PWUdUHQnWVjJpco76u34.png
Top Sirloin 8 oz,KEG Classics ,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/7vL7ROXwhLIWsHmbcvVn.png
Baseball Top Sirloin 12 oz,KEG Classics ,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/aUklcSKLeaRJe1DtYSrB.png
New York Striploin 12 oz,KEG Classics ,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/w5zA2CgnKsnznOwR6lgD.png
Add Béarnaise to Any Steak,ADD TO YOUR MEAL,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/cuKFdBoOSVJWQtMN1q2h.png
Add Blue Cheese Crust to Any Steak,ADD TO YOUR MEAL,0,2,0,2,0,2,0,0,0,0,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/orwcwJGXojCIMoieuObA.png
Add Confit Garlic Butter to Any Steak,ADD TO YOUR MEAL,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/rzzDnJ750AWpF9Fzhhs5.png
Add Lobster Tail to Any Steak,ADD TO YOUR MEAL,2,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/I9iv2rm6fYs1KmJ54udc.png
Add Shrimp Skewer to Any Steak,ADD TO YOUR MEAL,2,0,2,2,0,0,0,0,2,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/A0Zt5e8GPSLo0bcil29Q.png
Add Whiskey Peppercorn to Any Steak,ADD TO YOUR MEAL,0,0,0,2,0,2,0,0,2,2,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/YYFZjNU6rLZXImRWzQs5.png
Add Shrimp & Scallop Oscar,ADD TO YOUR MEAL,2,2,0,2,2,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/NfO8H2JNWpW6OQXn1Cpt.png
Add Crab Cake to Any Steak,ADD TO YOUR MEAL,2,2,0,2,0,2,0,2,2,0,0,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/EP4dZR33lO6xmpE4h2tR.png
