name,itemType,gluten,vegan,vegetarian,sesame,soy,fish,shellfish,dairy,egg,treeNuts,peanuts,wheat,garlic,mustard,halal,description,keto,lowFODMAP,dashDiet,lowCarb
Jonesy’s Pulled Pork Sandwich,Sandwiches & Wraps,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,Slow cooked pork roast braised in Guinness and topped with sautéed onions,2,2,2,2
The Smoke’N’Barrel Brisket Dip,Sandwiches & Wraps,2,2,2,2,2,0,0,2,0,0,0,2,2,2,2,"1/4 lb of certified AAA angus slow smoked in a Texas rub over Red Oak, creamy jalapeno havarti and dusted onions on a grilled, garlic butter brushed ciabatta bun served with fries and smoked au jus",2,2,2,2
New York Steak Sandwich,Sandwiches & Wraps,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,6oz New York Steak cooked to your liking. Served open face on garlic brushed ciabatta and topped with sautéed onions,2,2,2,2
Buffalo Chicken Wrap,Sandwiches & Wraps,2,2,2,0,0,0,0,2,2,0,0,2,2,2,2,,2,2,2,2
The Glorious Grilled Chicken Club,Sandwiches & Wraps,2,2,2,2,2,0,0,2,2,0,0,2,2,2,2,"Seasoned grilled chicken breast, bacon, herbed havarti cheese, lettuce, tomato and chipotle mayo on a soft, grilled ciabatta bun",2,2,2,2
The Drunken Trigger,Sandwiches & Wraps,2,2,2,0,0,0,0,2,2,0,0,2,2,2,2,"It’s the ultimate BLT! 6 strips of bacon, grilled chicken breast, fried egg, cheddar cheese, lettuce and tomato",2,2,2,2
The Million Dollar Sandwich,Sandwiches & Wraps,2,2,2,0,0,0,0,2,2,0,0,2,2,2,2,,2,2,2,2
The Colvini Stack,Sandwiches & Wraps,2,2,2,0,0,0,0,2,2,0,0,2,2,2,2,"Crispy chicken fingers tossed in Frank’s, smokey BBQ pulled pork, sliced pickles, all built on a garlic butter brushed burger bun with cream cheese. Sounds ridiculous but is amazing!",2,2,2,2
The Aydonator,Sandwiches & Wraps,2,2,2,0,0,2,2,0,2,0,0,2,2,2,0,"Our famous beer battered, kettle chip tossed haddock with fresh lettuce, tomato and chipotle mayo on a garlic butter brushed grilled brioche style bun",2,2,2,2
The Alabama Kid,Sandwiches & Wraps,2,2,2,0,0,0,0,2,2,0,0,2,2,2,2,"Crispy fried chicken tossed in dity bama, lettuce, tomato, herbed havarti and gangstasauce on a garlic butter brushed brioche style bun",2,2,2,2
Deep Fried Cheesecake,Desserts,2,2,0,0,0,0,0,2,2,0,0,2,0,0,0,"Tortilla wrapped New York style Cheese Cake, fried golden brown, topped with fresh strawberry coolis and caramel",2,2,2,2
Pudgy Sundaes,Desserts,2,2,0,0,0,0,0,2,2,0,0,2,0,0,0,,2,2,2,2
Pudgy Boy Mini Donuts (12),Desserts,2,2,0,0,0,0,0,2,2,0,0,2,0,0,0,,2,2,2,2
Belgian Waffles,Desserts,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,,2,2,2,2
Classic Burger,Tommy's Burgers,2,2,1,0,2,0,0,0,2,0,0,2,2,2,2,"Lettuce, tomato, onions and pickles",2,2,2,2
The Stinky Burger,Tommy's Burgers,2,2,1,0,2,0,0,2,2,0,0,2,2,2,2,"Garlic, sautéed onions and blue cheese",2,2,2,2
Swiss Mushroom Melt,Tommy's Burgers,2,2,1,0,2,0,0,2,2,0,0,2,2,2,2,It’s all in the name!,2,2,2,2
The Ranch,Tommy's Burgers,2,2,1,0,2,0,0,2,2,0,0,2,2,2,2,"BBQ pulled pork,old cheddar and crispy beefeater onion rings",2,2,2,2
The Big Tom,Tommy's Burgers,2,2,1,0,2,0,0,2,2,0,0,2,2,2,2,"Shredded lettuce, Canadian cheddar, pickles, onion and secret sauce (1000 Island Dressing)",2,2,2,2
Smokey Bacon,Tommy's Burgers,2,2,1,0,2,0,0,0,2,0,0,2,2,2,2,Smothered in Smokey BBQ sauce and five strips of bacon,2,2,2,2
NYPD Blue,Tommy's Burgers,2,2,1,0,2,0,0,2,2,0,0,2,2,2,2,"Blue cheese, pulled pork, bacon and black forest ham",2,2,2,2
The Fiesta,Tommy's Burgers,2,2,1,0,2,0,0,2,2,0,0,2,2,2,2,"Grated cheese, onions, tomatoes, olives, jalapeños, salsa, sour cream and tortilla chips .",2,2,2,2
The Caesar,Tommy's Burgers,2,2,1,0,2,0,0,2,2,0,0,2,2,2,2,,2,2,2,2
The Angry Pickle,Tommy's Burgers,2,2,1,0,2,0,0,2,2,0,0,2,2,2,2,"Crispy fuzzy pickles, seared jalapenos and chipotle mayo",2,2,2,2
Carlos in the Kitchen,Tommy's Burgers,2,2,1,0,2,0,0,2,2,0,0,2,2,2,2,"It’s a burger in a Quesadilla! Blended cheeses, tortilla chips, jalapenos, lettuce, tomato, onion, pickles and sour cream wrapped and grilled in flour tortilla",2,2,2,2
Hot Hamburger Melt,Tommy's Burgers,2,2,1,0,2,0,0,2,2,0,0,2,2,2,2,"Sauteed mushrooms, onions and swiss cheese smothered in gravy. Served open face on texas toast",2,2,2,2
Gangsta Grilled Cheese Burger,Tommy's Burgers,2,2,1,0,2,0,0,2,2,0,0,2,2,2,2,,2,2,2,2
Tommy's Uppercut,Tommy's Burgers,2,2,1,0,2,0,0,2,2,0,0,2,2,2,2,,2,2,2,2
Tommy’s massive 3lb Burger,TOMMY'S ULTIMATE BURGER CHALLENGE,2,2,2,0,2,0,0,2,2,0,0,2,2,2,2,,2,2,2,2
